1,홍길동,55,60,89,204,68,0
2,유관순,91,78,57,226,75,0
3,이순신,78,55,70,203,67,0
4,강감찬,89,65,74,228,76,0
5,김구,99,60,82,241,80,0
6,이순신,80,74,53,207,69,0
7,홍길자,97,72,71,240,80,0
8,홍길순,58,86,67,211,70,0
9,길동스,61,96,53,210,70,0
10,관순스,87,50,92,229,76,0
11,순신스,54,98,66,218,72,0
12,Emmalee,61,50,87,198,66,0
13,Jameson,53,91,52,196,65,0
14,Ginnifer,96,75,58,229,76,0
15,Witty,78,98,81,257,85,0
16,Ashlen,94,56,52,202,67,0
17,Andrew,94,72,59,225,75,0
18,Niccolo,69,94,83,246,82,0
19,Gerianne,62,77,70,209,69,0
20,Rex,67,83,80,230,76,0
21,Basil,81,91,96,268,89,0
22,Terry,88,77,92,257,85,0
23,Benoit,100,63,62,225,75,0
24,Nehemiah,86,71,50,207,69,0
25,Fawn,76,63,79,218,72,0
26,Junie,80,53,55,188,62,0
27,Vin,57,82,72,211,70,0
28,Verine,60,62,65,187,62,0
29,Shaina,66,85,90,241,80,0
30,Tiffy,50,58,71,179,59,0
31,Filide,66,66,56,188,62,0
32,Baillie,65,74,57,196,65,0
33,Lane,64,63,64,191,63,0
34,Gary,95,92,92,279,93,0
35,Filia,79,61,55,195,65,0
36,Olwen,70,68,74,212,70,0
37,Cookie,77,97,94,268,89,0
38,Abby,63,80,72,215,71,0
39,Stillman,89,58,64,211,70,0
40,Arturo,90,86,80,256,85,0
41,Orville,96,52,100,248,82,0
42,Celinka,89,57,50,196,65,0
43,Alfreda,99,60,50,209,69,0
44,Danika,69,98,55,222,74,0
45,Frederigo,56,65,96,217,72,0
46,Pooh,97,98,80,275,91,0
47,Lanni,100,50,90,240,80,0
48,Fancie,72,73,91,236,78,0
49,Amory,91,59,70,220,73,0
50,Des,74,71,52,197,65,0
